Program,Workout Name,Exercise Name,Equipment,Sets,Reps or Duration,Movement Pattern,Verified,Notes
Strength Endurance,The Backyard Basics,Push-Ups,Bodyweight,3,AMRAP,Push,,
Strength Endurance,The Backyard Basics,Inverted Rows (table or sturdy bar),Bodyweight,3,AMRAP,Pull,,
Strength Endurance,The Backyard Basics,Bodyweight Squats,Bodyweight,3,AMRAP,Legs,,
Strength Endurance,The Backyard Basics,Dead Bug,Bodyweight,3,AMRAP,Core,,
Strength Endurance,Playground Dad,Decline Push-Ups (feet on bench),Bodyweight,3,AMRAP,Push,,
Strength Endurance,Playground Dad,Australian Pull-Ups (low bar),Bodyweight,3,AMRAP,Pull,,
Strength Endurance,Playground Dad,Walking Lunges,Bodyweight,3,AMRAP,Legs,,
Strength Endurance,Playground Dad,Plank Hold,Bodyweight,3,Max hold (timed),Core,,
Strength Endurance,The Wake-Up Call,Diamond Push-Ups,Bodyweight,3,AMRAP,Push,,
Strength Endurance,The Wake-Up Call,Superman Holds,Bodyweight,3,Max hold (timed),Pull,,
Strength Endurance,The Wake-Up Call,Jump Squats,Bodyweight,3,AMRAP,Legs,,
Strength Endurance,The Wake-Up Call,Bird Dog,Bodyweight,3,AMRAP,Core,,
Strength Endurance,The Early Riser,Pike Push-Ups,Bodyweight,3,AMRAP,Push,,
Strength Endurance,The Early Riser,Doorframe Rows,Bodyweight,3,AMRAP,Pull,,
Strength Endurance,The Early Riser,Bulgarian Split Squat (bodyweight),Bodyweight,3,AMRAP,Legs,,
Strength Endurance,The Early Riser,Flutter Kicks,Bodyweight,3,AMRAP,Core,,
Strength Endurance,Park Bench Pro,Incline Push-Ups (hands on bench),Bodyweight,3,AMRAP,Push,,
Strength Endurance,Park Bench Pro,Bench Inverted Rows,Bodyweight,3,AMRAP,Pull,,
Strength Endurance,Park Bench Pro,Step-Ups (on bench),Bodyweight,3,AMRAP,Legs,,
Strength Endurance,Park Bench Pro,Dead Bug,Bodyweight,3,AMRAP,Core,,
Strength Endurance,Back to Basics,Push-Ups,Bodyweight,3,AMRAP,Push,,
Strength Endurance,Back to Basics,Pull-Ups (or assisted),Bodyweight,3,AMRAP,Pull,,
Strength Endurance,Back to Basics,Bodyweight Lunges,Bodyweight,3,AMRAP,Legs,,
Strength Endurance,Back to Basics,Plank Hold,Bodyweight,3,Max hold (timed),Core,,
Strength Endurance,Sandbag Saturday,Sandbag Floor Press,Household Items,3,AMRAP,Push,,
Strength Endurance,Sandbag Saturday,Sandbag Bent-Over Row,Household Items,3,AMRAP,Pull,,
